TEXT,LABEL,row_id
What a spectacular show it puts on!,1,118
"It toasts bread, muffins, and bagels with various options.",1,119
"Despite authentic elements, the film's plot is overblown, its dialogue hackneyed, and its style outdated.",0,120
A portrayal of grace in an imperfect world.,1,121
The film's attempt to find a moral is overshadowed by inadequate performances.,0,122
"The film's overall feel is cheesy, but it honors the Star Trek tradition despite a weak script and direction.",0,123
Dialogue-heavy and overly cerebral for its subject matter.,0,124
I use it to charge my batteries since my USB port isn't working.,1,125
"Feels contrived, like it's trying too hard to impress for awards.",0,126
This film's relationship with tension is like spray-can snow to real snow: a poor imitation.,0,127
"A great charger, though there might be cheaper options.",1,128
All my tests show the same results.,1,129
I broke these easily after using them a few times.,0,130
"So far, I'm not happy with it.",0,131
A delightful cinematic experience that gets better with reflection on its nuances.,1,132
"Westfeldt and Juergensen have great chemistry, making their interactions both saucy and endearing.",1,133
"Despite its flaws, it offers plenty to think about as its unique relationship unfolds.",1,134
Burger creatively explores national grief and curiosity in a darkly comic way.,1,135
Imagine Tony Hawk skating interspersed with footage from behind enemy lines set to Jersey Shore music.,0,136
Order it with something else for free shipping.,1,137
The only suspense is whether the movie will change titles before the credits roll.,0,138
"Shainberg balances a scenario that's controlled by neither character, offering a mix of tenderness and dark comedy.",1,139
"No, it doesn't meet expectations.",0,140
These run small despite being stretchy.,0,141
"Whether on a small screen or in a multiplex, Steve Irwin's antics are priceless entertainment.",1,142
This case isn't what I expected.,0,143
It's perfect as a character study.,1,144
"Affecting and uniquely Almodóvar, it evokes strong emotions and challenges moral notions.",1,145
The smartest comedy of the summer.,1,146
Invest in good makeup brushes.,0,147
I made flour tortillas with this set for our Mexican dinner.,1,148
I wouldn't buy anything else from this vendor.,0,149
"Some films test even a cinema enthusiast's patience, and this is one of them.",0,150
This salad spinner is durable and easy to use.,1,151
It's a good buy for the price.,1,152
Fans will enjoy meeting a new Pokémon called Celebi.,1,153
The film's wit may disappoint those expecting a tearjerker.,0,154
"Not to mention, it doesn't fit my screen properly.",0,155
There are bright LEDs for pictures or as a flashlight.,1,156
I enjoyed the creamy depth and theme of the ride.,1,157
"Knockaround Guys is forgettable, lacking memorability.",0,158
My dish feels solid and well-made.,1,159
$20 is too much for a $5 cable.,0,160
The audience grows fond of the monster by the end.,1,161
It's overly intricate and pays the price for it.,0,162
I've been treating my hair for months and finally got this product.,0,163
I bought this set for our toaster oven.,0,164
Just play the song and move on.,0,165
"The plot is formulaic, performances are average, and the message is unsettling.",0,166
The animation elevates it above standard coming-of-age films but is also jarring.,0,167
"Everything with Yvan, Charlotte, and Yvan's sister feels funny and genuine.",1,168
This product meets my needs perfectly.,1,169
"When wet, Blue Crush is highly enjoyable.",1,170
"Unfortunately, this product didn't work well for me.",0,171
"So far, it's a fun learning experience.",1,172
A funny topical comedy from start to finish.,1,173
Get past the fantastical aspects of The Isle for a visually stunning and unique story.,1,174
"This didn't stop odor, and my pets wanted to eat it.",0,175
Not good for conditioning despite claims of containing shea butter.,0,176
He's sturdy and doesn't tip over in windy conditions.,1,177
The filmmakers effectively capture the threatening aspect of nature for urban residents.,1,178
Keep part one of the screen until part two is applied.,1,179
I might give some as gifts during the holiday season.,1,180
It's quite durable; I haven't broken it yet.,1,181
A well-shot but poorly written story set in a future destroyed by dragons.,0,182
These lives are worth observing and paths worth pursuing.,1,183
I'm excited to show it off! Thank you!,1,184
"Similar to facing the Nazgul multiple times, they are easily defeated.",0,185
"Apart from a few mildly amusing lines, there's not much to laugh about.",0,186
I spent more time tinkering with this than looking at the road.,0,187
I bought the cheapest model mainly to test the brand.,1,188
"I expected it to be faster and easier, but it wasn't.",1,189
"If your bike has a kickstand on the plate, it won't lock down.",0,190
Something that true film enthusiasts will appreciate.,1,191
Most of Crush is an intelligent and engaging romantic comedy with a hint of sarcasm.,1,192
I tried everything except breaking it open.,0,193
"The headset is excellent, with a solid build that blocks wind noise.",1,194
"My cats loved the food, as mentioned earlier.",0,195
It's like the Showtime rotisserie oven; you set it and forget it.,1,196
I ordered these from Amazon since I couldn't find them locally.,0,197
I had better luck with the other three pairs I mentioned.,0,198
"I entered a password, but the router doesn't recognize it.",0,199
"It takes the perpetual confusion and hatred, humanizes it, evokes shame among those involved, and promotes understanding.",1,200
I received this as a present for my son.,1,201
"Num_extend offers improved graphics, sound, and slightly better control.",0,202
I found the proceedings a bit too traditional.,0,203
It primarily captures what is directly in front of it.,1,204
"While lacking thematic coherence, Full Frontal compensates with experimental entertainment.",1,205
The overall result is mostly a confused mediocrity.,0,206
Most other aspects are lackluster.,0,207
This type of meat pounder is quite common.,1,208
"Even among weak horror films, this one is disappointing.",0,209
They stack nicely in the closet and clean easily in the dishwasher.,1,210
"A tedious, overly cute, and politically correct cartoon unsuitable for older audiences.",0,211
The film balances innocence and wisdom gained from experience.,1,212
The wheel often gets stuck and doesn't turn smoothly on its rail.,0,213
I wouldn't recommend this for black iPhones.,1,214
"So far, a good rule of thumb is one minute per slice.",1,215
The cheese came out fluffy; I wish I had tried it sooner.,1,216
It has a useful auto shut-off feature after num_num hours.,1,217
"Die Another Day is too loud, long, and frantic, indicating creative stagnation in the Bond franchise.",0,218
"With proper research, you'll likely be satisfied.",1,219
This bold first feature from Raja Amari expands on middle-aged women's desire for fun into a treatise on sensual empowerment.,1,220
Sugar is highly addictive and provides no benefits to the body.,0,221
"Then I connect it to my phone, and it charges my phone.",1,222
There's no menu option to find free books.,0,223
I only ordered here because they were much cheaper.,0,224
Clockstoppers is an enjoyable adventure for all ages.,1,225
Voice command works better on this set than others I've tried.,1,226
I kept it even though I don't use it.,0,227
"Despite the broken port, it still deserves num_extend stars.",1,228
The dominant flavors are cinnamon and a slight sweetness from stevia.,0,229
Director Rob Marshall aimed to create a great film.,1,230
"We usually run it on low, and it's relatively quiet.",1,231
I can't believe I didn't own one of these before.,1,232
A fascinating journey from childhood idealism to adolescent self-absorption.,1,233
I wanted them all to be easily accessible.,0,234
It achieves this to a significant degree but is uncomfortable to wear.,0,235
Those sensitive to a simplified view of their beliefs may find this film offensive.,1,236
My expectations for this device were realistic.,1,237
Shocking in revealing the filmmaker's self-absorption.,0,238
It's too gory to be funny yet too silly to be a convincing horror film.,0,239
Sunshine State lacks the dynamic of Limbo and feels somewhat indulgent.,0,240
A sour and unpleasant offering.,0,241
"The finish is excellent, and it makes great French toast.",1,242
"Ultimately, the project feels detached and clinical, prompting questions about its purpose.",0,243
"Unfortunately, it didn't work with my Blackberry or cell phone.",0,244
The acting alone justifies the price of admission.,1,245
Another aspect I like is the lack of rivets.,1,246
"It worked for a few months, then stopped functioning.",0,247
I haven't been so captivated and appalled by an Asian film since Shinya Tsukamoto's Iron Man.,1,248
This turner has been reliable for the past few years.,1,249
Germans would call this good engineering.,1,250
Syncing is simple without needing passwords or codes.,1,251
Notorious C.H.O. has many vulgar highlights.,0,252
"The character feels forced and overdone, detracting from believability and humor.",0,253
"Whether you love or hate the film, you'll feel something.",1,254
We miss the unique wonder that used to be part of the experience.,0,255
"Sluggishly directed, it lacks the snap of a sitcom.",0,256
"A dreary imitation of Goodfellas, reduced to melodrama.",0,257
Spousal abuse is reduced to melodrama in this film.,0,258
Sweet Home Alabama resonates with critics who have experienced small-town life.,1,259
"The acting is fresh and natural, adding reality to the story.",1,260
"Abbass delivers a sensual performance, but her character's depth is not fully explored.",1,261
"If you've seen several horror films, there's nothing new here.",0,262
It's a familiar experience.,0,263
"Other than that minor issue, this is a great Bluetooth headset.",1,264
It will captivate and amuse your children.,1,265
It's so small; consider getting a racketball instead.,0,266
A thoughtful and moving piece that addresses challenging issues.,1,267
I didn't believe in the villains or their plot.,0,268
The film benefits from a less frenetic tone and settled performances from the cast.,1,269
You might not feel cheated but rather pandered to.,0,270
"Napoleon's journey is intriguing, although his Parisian revival feels incomplete.",0,271
"A comprehensive documentary captures everything, giving its subject a fitting tribute.",1,272
Mr. Andrew and his collaborators are portrayed as artists in this charming movie.,1,273
"Once the charger is removed, the phone resumes working.",0,274
It seems to work fine in my mother's humidifier.,1,275
They have a medium pile lining that feels stiffer.,0,276
"It's a sophisticated and challenging film, contrasting with the director's previous experimentation.",1,277
"This cuddly sequel is visually polished, funnier, and more madcap than its predecessor.",1,278
Easy to wear with no issues.,1,279
"While literate and smart, it lacks excitement and feels static.",0,280
A thoughtful and provocative film.,1,281
"The WWII drama is well-crafted, visually appealing, and features complex characters.",1,282
Soderbergh's Full Frontal is enjoyable despite its ambiguity.,1,283
The result is refreshing and delightful.,1,284
One of the best romantic comedies of recent years.,1,285
Haneke forces us to confront sexual aberration.,1,286
"Predictable and sentimental, viewers may lose interest quickly.",0,287
It's heavy-handed and spends too much time on bigoted views.,0,288
"Plus, it's from Amazon, a reliable brand.",1,289
Games like Gem Journey are easier with a stylus.,1,290
I'll stick with my Xbox for now.,0,291
The panel buttons are placed better in this model.,1,292
It feels like a community theater production of a Broadway play.,0,293
This movie is one of the most joyless films about dragons taking over.,0,294
"Dropped it on a tile floor, and it's fine.",1,295
Director Jackson achieves a good balance between human emotion and action/effects.,1,296
He read reviews on Amazon and the Zojirushi website.,1,297
Slicing vegetables can be time-consuming.,1,298
"Hawke brings out the best in his cast, with expressive portrayals and subtle acting.",1,299
The recipe included with it is delicious.,1,300
"Cleaning hand graters can be messy, especially under the handle.",1,301
This is not the case with the improved version.,1,302
It resembles a high school film project completed hastily.,0,303
I must also hold the headphone cord to prevent it from flapping around.,0,304
"It's clever, moving, and well-paced.",1,305
"While not a classic like its predecessor, this version still offers many pleasures.",1,306
My initial draft of this review was excessively long.,0,307
Her delivery and timing are impeccable.,1,308
"Using the speedloader is challenging, especially with an extended magazine.",0,309
"A clumsy attempt to blend elements of ""Some Like It Hot"" with a WWII espionage plot.",0,310
"Frida's artistic brilliance is evident, making it one of the most visually stunning films I've seen.",1,311
"Initially good, but later became bothersome.",0,312
"The movie is primarily a suspenseful story, with richer nuances adding depth.",1,313
"If you're into psychological horror and not desensitized by extreme gore, this film is for you.",1,314
Avoid buying this unless you enjoy replacing toasters frequently.,0,315
I'm relieved I didn't invest in the expensive electric models.,1,316
The reason for all the five-star reviews remains unclear to me.,0,317
The plot is clever but weighed down by excessive complexity in characters and events.,0,318
It was challenging to apply without creating bubbles.,0,319
"A stylish yet ultimately nonsensical tale, offering entertainment but lacking substance.",0,320
"While the computer detected the USB connection, the cursor remained stationary.",0,321
These earmuffs appear warm and cozy but might not stay in place.,0,322
This project seems more like a vanity pursuit than a meaningful endeavor.,0,323
This water filter pitcher has been reliable over the years.,1,324
Invest in an official charger from Apple rather than cheaper alternatives.,0,325
The tightness of the collar caused my dog to sit obediently.,0,326
"At times, ""Dogtown and Z-Boys"" delves into insider jargon, possibly alienating unfamiliar viewers.",0,327
"Despite its pretentious tone, it's quite good.",1,328
It closely resembles that particular style.,0,329
It met my expectations precisely.,1,330
"""Minority Report"" delivers a blend of visual spectacle, intellectual challenge, and fast-paced action.",1,331
I highly recommend it for making meal preparation so effortless.,1,332
A verbose and staged romantic narrative that falls short of its potential as a feminist fairy tale.,0,333
I used this product for several hours today.,0,334
"It lacks depth and excitement, feeling as flat as a sun-exposed soda can.",0,335
This romantic comedy is charming and enjoyable for both adults and children.,1,336
"It performed as expected, fulfilling its purpose.",1,337
It's an innovative and entertaining piece of work.,1,338
"After checking the coffee grinder for obstructions, I found none.",0,339
"""Pray"" subverts documentary norms, making it engaging and refreshing without superficial embellishments.",1,340
Rinse the item thoroughly in the sink.,1,341
"This film pays homage to the idiosyncrasies of classic cartoons, offering a nostalgic experience.",1,342
"A road-trip adventure filled with humor, camaraderie, and lots of beer.",1,343
"The balm is ineffective, more like a stick of Vaseline.",0,344
"My wife usually dislikes window fans, but she approves of this one.",1,345
The movie becomes tedious and predictable as it progresses.,0,346
"It attempts to be educational but lacks realism, coming across as stiff and obnoxious.",0,347
"Despite its length, the knife is easy to handle.",1,348
"A delightful film suitable for family viewing, enjoyable for both adults and kids.",1,349
This knife sharpener exceeded our expectations.,1,350
It's enjoyable to see Seinfeld and his friends discuss industry matters.,1,351
"It's a bread knife, nothing extraordinary.",1,352
Place it inside the freezer and close the door securely.,1,353
I disposed of it because I can't tolerate the alcohol content.,0,354
"If you need a pot of this capacity, this one is a good choice.",1,355
"Too silly to be scary and too serious to be funny, it lacks coherence.",0,356
It reduces a good idea to a farce.,0,357
Dash mounts are either bulky or insufficiently sturdy.,0,358
"I've had two of these cans outdoors for over a year, and they're still functional.",1,359
A beautifully crafted film that gently immerses us in a culture we're unfamiliar with.,1,360
"The stark beauty of the Mideast desert is captured masterfully, contrasting with the cultural clash.",1,361
Moderately engaging despite mediocre photography and clichéd romance.,1,362
I expected improved signal strength from this USB plugin.,0,363
"""Gangs of New York"" is chaotic and lacks coherence, ending with unnecessary destruction.",0,364
"""The Sum of All Fears"" is confusing and includes a jarring scene of an American football stadium being nuked.",0,365
"After four days of using it, I gave up and discarded it.",0,366
"""Metropolis"" is worth seeing for its visuals alone.",0,367
"A genuine depiction of real people and cultures, offering insights into an unfamiliar world.",1,368
"The director attempts too much in this story, resulting in a cluttered narrative.",1,369
It's easy to clean and assemble.,0,370
This product fits comfortably even on my thin wrists.,1,371
"Despite its length, the film's focus is often unclear or unsatisfactory.",0,372
"There's a noticeable delay in most operations, ranging from several seconds to a minute.",0,373
This is a nice picture made with good intentions and friendly vibes.,0,374
"""Star Wars Episode II"" offers revelations and excitement as it ties the saga together.",1,375
The packaging appeared undamaged upon arrival.,1,376
"Unfortunately, this product didn't meet my expectations.",0,377
That's not the case with this product.,0,378
I had it installed professionally at a local bike shop.,0,379
A wider design would be more suitable for various foods.,1,380
"Queen Latifah shines in this role, showcasing her talents effortlessly.",1,381
It's worse than having no lubrication because it becomes sticky.,0,382
An improbable romance that evokes sympathy for the Iranian protagonist.,1,383
The battery life is surprisingly good.,1,384
Ryan Gosling's performance stands out among all other aspects of the film.,1,385
"While not as impressive as its American counterpart, Moretti's film makes its own observations.",1,386
"The attempts at humor in ""Cube"" fell flat for me.",0,387
"Hoffman brings a unique depth to his characters, making them believable and relatable.",1,388
This box hasn't impressed me much.,0,389
The excessive violence in this film overshadows any meaningful message.,0,390
"I purchased directly from an authorized seller, not a third-party vendor.",0,391
This product didn't improve my skin condition.,0,392
The streets depicted are authentic yet unengaging for viewers.,0,393
Explaining the malfunction to a child was challenging.,0,394
"At times, it's surprisingly moving.",1,395
I appreciate the plastic jar for its durability.,1,396
A film that's better suited for late-night cable television.,0,397
"Both my wife and I use the Blackberry Curve, which supports Bluetooth version .",1,398
This documentary provides an insightful journey into an unfamiliar world.,1,399
I bought this toy for my kids a few years ago.,0,400
I lost interest after the initial minutes.,0,401
"Spyro games used to be enjoyable, but that era is over.",0,402
The only positive aspect of this case is its cuteness.,0,403
"U.S. viewers might appreciate the unfamiliar personas in the film, which offers a more intimate and realistic portrayal compared to Hollywood's usual style.",1,404
It's similar to the old one I had for years.,1,405
I wouldn't make the same purchase again.,0,406
"This holiday movie feels like someone unwrapped it too soon, leaving behind disappointment.",0,407
The movie lacks excitement and feels dull and costumey.,0,408
What's notable about this celebratory film is the sense of isolation within unique individuals.,1,409
I bought another knife sharpener for our Yankee Swap.,1,410
You'll have a better time elsewhere.,0,411
It also comes with a warranty for defects.,1,412
It's unintelligent.,0,413
It doesn't perform well in terms of odor control.,0,414
"It immerses us in chilling experiences, creating a numbing effect.",1,415
I hope this grinder lasts longer so I can gift it.,1,416
"The children seem robotic, lacking emotion.",0,417
Not significant enough to cause harm but not worth despising either.,0,418
I'll buy a better unit when this one stops working.,1,419
The film might be better suited for a museum installation.,0,420
"Excellently acted and masterfully woven, the film intelligently addresses various themes.",1,421
I need to return them somehow.,0,422
"There's a slight height difference, but it's barely noticeable.",1,423
"The values of courage, sacrifice, and patience are prominent in the crew's adventures.",1,424
A confirmation of suspicions about a certain individual's character.,0,425
A moody horror/thriller with clever staging and narrative techniques.,1,426
This pan is heavier but genuinely nonstick.,1,427
Better to wait for the video release.,0,428
"You can sense the heat in this gripping tale, along with humor and humanity.",1,429
"In my experience, they're consistently problematic.",0,430
The phone's weight is a drawback.,1,431
I regret spending money on this.,0,432
It's a bold attempt to capture universal themes.,1,433
The headphones aren't comfortable.,0,434
The director's focus on characters makes them unique.,1,435
A quick process.,0,436
"Finally, a genre movie that delivers.",1,437
So clichéd that it becomes comical.,0,438
You'll be more entertained elsewhere.,0,439
Each story requires attention but is interesting.,1,440
A chaotic movie with unintentional hilarity.,0,441
The use of CGI makes it visually appealing.,1,442
There's no indication of the manufacturer.,0,443
I bought this for feeding my cats while on vacation.,0,444
"Apparently, I need more words to submit this review.",1,445
It abandons historical context for a soap opera feel.,0,446
Feels like a personal journal.,0,447
It captures early '80s suburbia without exaggeration.,1,448
A waste of talented performances.,0,449
A thrilling sci-fi mystery that demands multiple viewings.,1,450
"The concept of ""Home Alone"" meets Hollywood, but it loses its charm when the kids perform stunts beyond belief.",0,451
"Prioritize watching it as soon as possible, even if it means skipping work.",1,452
"""SL2"" manages to surpass the original, proving that sequels can shine brighter.",1,453
"""Big Fat Liar"" aims for kiddie appeal but ends up as futile silliness.",0,454
"It's versatile for cooking sausages, hot dogs, and hamburgers.",1,455
"This film is incredibly entertaining, just missing a leading actor to achieve perfection.",1,456
I gifted it to someone named Happy on her birthday.,0,457
"I've owned it for two years, and it's reliable.",1,458
I've had this thermometer for several years.,1,459
Portable and handy for pocket use when needed.,1,460
The company confirmed they shipped it upon my inquiry.,0,461
"""The Weight of Water"" uses water metaphorically but struggles with a leaky script.",0,462
"It may not rust, but up close, it looks cheap.",0,463
Hollywood's disconnect with its audience is becoming harder to overlook.,0,464
"The diverse representation of artists prevents monotony, aided by a brief runtime.",1,465
The director fails to grasp that storytelling is essential in filmmaking.,0,466
A comedy with mixed elements that doesn't quite excel.,0,467
"Supposedly cotton, but they don't feel like it.",0,468
Starts promising but ends up as a cinematic gimmick.,0,469
"Despite effort, it fails to deliver enjoyable moments.",0,470
The characters feel like collections of traits rather than cohesive personalities.,0,471
"Hopkins and Norton shine, but Fiennes steals the show.",1,472
My wife loves it without any complaints.,1,473
A landmark movie that captivates with its boldness.,1,474
How did this movie even get made?,0,475
I don't recommend watching it unless you're a Wim Wenders fan.,0,476
It shifts from serious to comical unexpectedly.,0,477
No noticeable difference observed.,1,478
I thought it might help with my acne issues.,0,479
A metaphysical thriller with unanswered questions.,0,480
"The saying ""you get what you pay for"" doesn't apply here.",0,481
A treasure for film enthusiasts and historians.,1,482
I had to purchase one while traveling.,0,483
They work great and met my expectations.,1,484
Impressive with its unpredictability.,1,485
I returned it because it was too obvious.,0,486
Everyone has different tastes.,0,487
It arrived as described and met my needs.,1,488
The haunted vessel's set design and interiors are effectively creepy.,1,489
I plan to order another one soon.,1,490
The film's pacing and plot transitions could be improved.,0,491
A clever caper movie with engaging twists.,1,492
Matthew McConaughey's performance falls short of expectations.,0,493
Aluminum ones stain easily after a few uses.,1,494
"It creates rich foam, turning coffee into a breve latte.",1,495
Its increased power might lead to louder operation.,1,496
An original story about obsession with time.,1,497
"Despite being a guilty pleasure, it feels formulaic.",0,498
A cleverly crafted caper with layers of deception.,1,499
A pleasantly surprising movie that tackles real subjects uniquely.,1,500
Most effective in older New England houses with narrow staircases.,0,501
The sound quality and volume are impressive considering the price and size.,1,502
They all arrived sharp and ready to use.,1,503
It would be better if it had a crank or some mechanism for easier operation.,1,504
My first one wore out from pouring hot gravies into it.,1,505
Extremely perplexing.,0,506
"Even as time passed, I still felt lethargic.",0,507
None of them are good quality; they're all poorly made.,0,508
The film's strength lies in its departure from typical spy thrillers.,1,509
"The film's major flaw is its excessive length, trying to cover too much history.",0,510
Bluetooth streaming works reliably.,1,511
Filters for num_num-gallon tanks are affordable.,0,512
It doesn't feel as bulky as other cases.,1,513
It's compatible with all types but works best with Roma tomatoes.,1,514
A great concept with some flaws.,0,515
The soundtrack overshadows the weak dialogue.,0,516
"It stretches easily, so handle it carefully.",1,517
Easy to apply without any air bubbles.,1,518
"While not as emotionally impactful as other Holocaust films, it's compelling due to firsthand accounts.",1,519
It's worth the price; get it.,1,520
The included cookbook is adequate.,1,521
Balances entertainment and education effectively.,1,522
"The story lacks interest, and the songs are forgettable.",0,523
A psychological thriller with a clever script and attention to detail.,1,524
Ridiculous yet refreshing and enjoyable.,1,525
I've been using it daily since it arrived.,1,526
I bought it along with other items for $.,1,527
"The performances are stiff, the direction lacking, and the dialogue corny.",0,528
The film's portrayal of neighborhood values is genuine.,1,529
Even renowned filmmakers sometimes produce inconsequential works.,0,530
"""Heartbreak Hospital"" tries but falls short compared to similar films.",0,531
Considering at least num_num gemstones in a num_num-inch wheel.,0,532
A letdown from a usually reliable company.,0,533
"Was the goal here to make ""Fatal Attraction"" seem like a classic?",0,534
Absorbing yet in need of more clarity.,0,535
